student_id,year,month
8833181,2025,5
8833181,2025,5
8833181,2025,5
8833181,2025,5
8833181,2025,5
8833181,2025,5
f08384e2,2025,5
d4f4dc45,2025,5
57a0a250,2025,5
6c70c87f,2025,5
84342528,2025,5
98734846,2025,5
a1ec6d29,2025,5
2d33319e,2025,5
1994fef3,2025,5
57f7682e,2025,5
70c56a30,2025,5
098a9beb,2025,5
5e64759b,2025,5
2e27780d,2025,5
54b18081,2025,5
cb820960,2025,5
a58fecb2,2025,5
c65f56d2,2025,5
f0d0fe98,2025,5
d1076f9d,2025,5
fdbb556e,2025,5
f87961ca,2025,5
f753845e,2025,5
cb66988c,2025,5
8b3d34f1,2025,5
54be4918,2025,5
dd2abbf7,2025,5
63812b10,2025,5
db6da439,2025,5
83a40bac,2025,5
d5147f4d,2025,5
346ca582,2025,5
ef18c8b8,2025,5
a3437ed9,2025,5
ee06811a,2025,5
08833181,2025,5
42b54fd1,2025,5
aafb7642,2025,5
3b55f071,2025,5
0ce53445,2025,5
38d476de,2025,5
638f5e26,2025,6
541845ea,2025,5
dd2abbf7,2025,6
51a29d6f,2025,6
d4a8c0f1,2025,6
3f134db6,2025,6
76c02e9c,2025,6
1ee0659f,2025,5
649e03a0,2025,5
85ee7c08,2025,6
a58fecb2,2025,6
fdbb556e,2025,6
42b54fd1,2025,6
a3437ed9,2025,6
541845ea,2025,6
08833181,2025,6
7f1ff253,2025,6
2a45ad45,2025,6
66b169b5,2025,6
1567ee4d,2025,6
6ffb57b4,2025,6
ccaa9360,2025,6
adbf6b6c,2025,6
9d7448d7,2025,6
a78a86bb,2025,6
3db77af1,2025,6
95554bf9,2025,6
b1eb5a29,2025,6
e84c04a2,2025,6
a19f3454,2025,6
f87961ca,2025,6
588fa81f,2025,6
54be4918,2025,6
8b3d34f1,2025,6
d93e874c,2025,6
b87a0d16,2025,6
0ce53445,2025,6
d5147f4d,2025,6
b22bf300,2025,6
cb66988c,2025,6
a74a8066,2025,6
956cdba5,2025,6
649e03a0,2025,6
b0e524d8,2025,6
2e665ea5,2025,6
c6a97e66,2025,6
ef18c8b8,2025,6
3b55f071,2025,6
2ad19d65,2025,6
c0fee3c5,2025,7
573ddced,2025,7
10bf1aa5,2025,7
