id,student_id,date,title,price,author,paid
86b68634,1994fef3,2025-05-16,SISTEMI GIURIDICI COMPARATI,50.0,C,True
0cde0cec,cb66988c,2025-05-16,MAPPE,35.0,C,True
da34b263,cb66988c,2025-05-16,CAP 3,15.0,C,True
b89b71fa,cb66988c,2025-05-16,CAP 4,15.0,C,True
1cdae1a1,cb66988c,2025-05-16,CAP 6,15.0,C,True
57812024,84342528,2025-05-16,CAMPOBASSO,110.0,C,True
98893769,f08384e2,2025-05-16,QUESITI,100.0,C,True
e43f570c,1994fef3,2025-05-16,MAPPE SOCIETA',150.0,C,True
96e27b99,98734846,2025-05-16,DIRITTO E RELIGIONE,40.0,C,True
9a8e19de,54be4918,2025-05-16,MAPPA CAP 1 COST.,10.0,C,True
6196d37c,54be4918,2025-05-16,MAPPA ORGANI UE,20.0,C,True
e79c5f4a,d4f4dc45,2025-05-16,PLAGIO,15.0,C,True
a62e5779,57f7682e,2025-05-16,GIUSNATURALISMO,40.0,C,True
81138687,1ee0659f,2025-05-16,MAPPE DIRITTO CIV TORRENTE,60.0,C,True
9383a14d,6c70c87f,2025-05-16,MANUALE FILOSOFIA,50.0,C,True
b7b768f8,a3437ed9,2025-05-16,TORRENTE,50.0,C,True
67b69280,57a0a250,2025-05-16,TORRENTE,70.0,C,True
dea86b11,a1ec6d29,2025-05-16,DIRITTO PRIVATO ROMANO MARRONE,35.0,C,True
2124758a,70c56a30,2025-05-16,MAPPE COMMERCIALE 1-2-3,175.0,C,True
9a765e6c,8b3d34f1,2025-05-16,DIRITTO PENALE MARINUCCI,80.0,C,True
3ae7f123,54be4918,2025-05-16,MAPPE UE,40.0,C,True
82332367,cb820960,2025-05-22,MAPPE UE,60.0,C,True
0fe41edc,f87961ca,2025-05-22,MAPPE DIRITTO COMMERCIALE,60.0,C,True
fe51b612,098a9beb,2025-05-24,TEMI DI DIRITTO COSTITUZIONALE,35.0,C,True
16a9b1d4,db6da439,2025-05-24,LE OBBLIGAZIONI NICOLUSSI,20.0,C,True
433676fb,63812b10,2025-05-24,IL RAPPORTO GIURIDICO - ALBANESE,25.0,C,True
4c21492c,a58fecb2,2025-05-27,mappe SPA SAPA COOPERATIVE MUTUE,60.0,C,True
b4e72189,85ee7c08,2025-06-12,mappe vignudelli cap 10-11-12,45.0,C,True
479f8732,54be4918,2025-05-27,MAPPE DIRITTO COSTITUZIONALE,60.0,C,True
6f746a9e,aafb7642,2025-05-28,SOCIOLOGIA DIGITALE,20.0,C,True
888ce1b6,aafb7642,2025-05-28,DIRITTO E TECNOLOGIE INFORMATICHE,40.0,C,True
1d26c8a9,649e03a0,2025-06-03,IL DIRITTO NELL'ESPERIENZA DI ROMA ANTICA,45.0,C,True
fe20bc6e,638f5e26,2025-06-04,ETIVITY DIRITTO CIVILE,80.0,C,True
5d5236de,dd2abbf7,2025-06-05,DIMENSIONI DEL DIRITTO,35.0,C,True
a54650cf,dd2abbf7,2025-06-05,VOLTI MOLTEPLICI DELLA CONSUETUDINE,25.0,C,True
51c8d056,649e03a0,2025-06-05,PERLINGERI MAPPE,45.0,C,True
4f9f5db8,2ad19d65,2025-06-05,DIRITTO ECCLESIASTICO - CHIZZONITI VITALI,60.0,C,True
2c4dc722,6ffb57b4,2025-06-03,dominioni riscrittura proc penale,75.0,C,True
f73b887b,cb66988c,2025-06-03,tempi del diritto - storia moderna,60.0,C,True
6e452176,cb66988c,2025-06-03,leggi razziali ,35.0,C,True
3a8632ec,dd2abbf7,2025-06-11,mappe volti molteplici + dimensioni,50.0,C,True
ba1ff487,fdbb556e,2025-06-11,semplificazione diritto civile,70.0,C,True
cee2ca92,76c02e9c,2025-06-06,PARTI TORRENTE,30.0,C,True
b3a727a5,51a29d6f,2025-06-04,DIRITTO DI FAMIGLIA,35.0,C,True
46f470d0,b22bf300,2025-06-04,CAMON,50.0,C,True
7e28254f,3f134db6,2025-06-04,ROMANO MARRONE,35.0,C,True
98525f2e,649e03a0,2025-06-04,BIN,60.0,C,True
9084d200,649e03a0,2025-06-04,DELLA MURA,35.0,C,True
1ba478bf,ccaa9360,2025-06-11,RISCRITTURA privato 2,15.0,C,True
686631e0,a19f3454,2025-06-25,PROCEDURA CIVILE SASSANI,45.0,C,True
7d82b856,1567ee4d,2025-06-25,CHIARIMENTI COMMERCIALE,20.0,C,True
f34edbfd,2ad19d65,2025-06-25,DIRITTO INTERNAZIONALE,100.0,C,True
78446f39,d02aca17,2025-06-25,MAPPE CONSOLO,70.0,C,False
b24ee735,54be4918,2025-06-25,MAPPE SISTEMI GIURIDICI,40.0,C,True
92435527,54be4918,2025-06-25,RIASSUNTO SISTEMI GIURIDICI,50.0,C,True
0fc58353,0ce53445,2025-06-25,FORME DI GOVERNO,15.0,C,False
cffd026d,7f1ff253,2025-06-25,PARTI DI COMMERCIALE,15.0,C,True
f5853225,66b169b5,2025-06-25,CRIMINOLOGIA,40.0,C,True
8f5f96af,2a45ad45,2025-06-25,BALENA,80.0,C,True
c9522df0,a78a86bb,2025-06-25,GIUSTIZIA COSTITUZIONALE,30.0,C,True
4ee0f61d,2e665ea5,2025-06-25,COMPENDIO CASETTA DIRITTO AMMINISTRATIVO,50.0,C,True
0579c598,b1eb5a29,2025-06-25,CONSOLO SEMPLIFICATO,70.0,C,True
e2099782,ccaa9360,2025-06-27,CIVILE PARTI,30.0,C,True
8477beb4,3db77af1,2025-06-28,MAPPE COSTITUZIONALE,60.0,C,True
c7461958,95554bf9,2025-06-28,DIRITTO RPIVATO ROMANO MARRONE,50.0,C,True
bf33f951,588fa81f,2025-06-29,MAPPE,15.0,C,True
0e80e7b2,01261ebe,2025-07-10,MANUALE RAGIONATO CARUSO,120.0,C,False
01c5c3fa,71443198,2025-07-10,RIELABORAZIONE PRIVATO 3,70.0,C,False
9fcfff13,aefe1f57,2025-07-10,AMMINISTRATIVO FREDIANI,50.0,C,False
3d78b64e,761ed952,2025-07-10,INTERPRETAZIONE GIURIDICA,70.0,C,False
578d0bd2,b87a0d16,2025-07-10,MAPPE DIRITTI REALI + RESCISS + RISOLUZ,20.0,C,False
c091a041,87513f4f,2025-07-10,STORIA 2,35.0,C,True
85851fac,573ddced,2025-07-07,RIASSUNTO 50 PAGINE,30.0,C,True
12452332,3c5f943a,2025-07-07,GIUSTIZIA AMMINISTRATIVA,70.0,C,False
33f15ad6,98734846,2025-07-07,COMMERCIALE ,80.0,C,False
f4c0fbb9,bbfa37cc,2025-07-10,RISCRITTURA PROC PENALE,55.0,C,False
61df3b46,ef18c8b8,2025-07-10,MANUALE DI FILOSOFIA DEL DIRITTO,30.0,C,False
